submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,pop,,,,,
1/31/2020,VA,0,,,0,,3364939,,,,,
1/31/2020,VT,0,,,0,,322539,,,,,
1/31/2020,WA,1,,,0,,2885677,,,,,
1/31/2020,WI,0,,,0,,2624358,,,,,
1/31/2020,WV,0,,,0,,881917,,,,,
1/31/2020,WY,0,,,0,,261868,,,,,
2/1/2020,AK,0,,,0,,306967,,,,,
2/1/2020,AL,0,,,0,,2171853,,,,,
2/1/2020,AR,0,,,0,,1316299,,,,,
2/1/2020,AZ,1,,,0,,2844526,,,,,
2/1/2020,CA,3,,,0,,13680081,,,,,
2/1/2020,CO,0,,,0,,2212898,,,,,
2/1/2020,CT,0,,,0,,1487891,,,,,
2/1/2020,DC,0,,,0,,296719,,,,,
2/1/2020,DE,0,,,0,,405885,,,,,
2/1/2020,FL,0,,,0,,8989580,,,,,
2/1/2020,GA,0,,,0,,4088801,,,,,
2/1/2020,HI,0,,,0,,519508,,,,,
2/1/2020,IA,0,,,0,,1336417,,,,,
2/1/2020,ID,0,,,0,,667796,,,,,
2/1/2020,IL,2,,,0,,5296715,,,,,
2/1/2020,IN,0,,,0,,2795541,,,,,
2/1/2020,KS,0,,,0,,1233215,,,,,
2/1/2020,KY,0,,,0,,1927164,,,,,
2/1/2020,LA,0,,,0,,1964981,,,,,
2/1/2020,MA,1,,,1,,2808254,,,,,
2/1/2020,MD,0,,,0,,2378814,,,,,
2/1/2020,ME,0,,,0,,721830,,,,,
