submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,pop,,,,,
1/24/2020,CO,0,,,0,,2212898,,,,,
1/24/2020,CT,0,,,0,,1487891,,,,,
1/24/2020,DC,0,,,0,,296719,,,,,
1/24/2020,DE,0,,,0,,405885,,,,,
1/24/2020,FL,0,,,0,,8989580,,,,,
1/24/2020,GA,0,,,0,,4088801,,,,,
1/24/2020,HI,0,,,0,,519508,,,,,
1/24/2020,IA,0,,,0,,1336417,,,,,
1/24/2020,ID,0,,,0,,667796,,,,,
1/24/2020,IL,1,,,1,,5296715,,,,,
1/24/2020,IN,0,,,0,,2795541,,,,,
1/24/2020,KS,0,,,0,,1233215,,,,,
1/24/2020,KY,0,,,0,,1927164,,,,,
1/24/2020,LA,0,,,0,,1964981,,,,,
1/24/2020,MA,0,,,0,,2808254,,,,,
1/24/2020,MD,0,,,0,,2378814,,,,,
1/24/2020,ME,0,,,0,,721830,,,,,
1/24/2020,MI,0,,,0,,4532233,,,,,
1/24/2020,MN,0,,,0,,2347201,,,,,
1/24/2020,MO,0,,,0,,2712729,,,,,
1/24/2020,MS,0,,,0,,1274719,,,,,
1/24/2020,MT,0,,,0,,482825,,,,,
1/24/2020,NC,0,,,0,,4327528,,,,,
1/24/2020,ND,0,,,0,,317498,,,,,
1/24/2020,NE,0,,,0,,796793,,,,,
1/24/2020,NH,0,,,0,,614754,,,,,
1/24/2020,NJ,0,,,0,,3553562,,,,,
1/24/2020,NM,0,,,0,,901388,,,,,
1/24/2020,NV,0,,,0,,1173814,,,,,
1/24/2020,NY,0,,,0,,8108103,,,,,
1/24/2020,OH,0,,,0,,5127508,,,,,
1/24/2020,OK,0,,,0,,1664378,,,,,
1/24/2020,OR,0,,,0,,1675562,,,,,
1/24/2020,PA,0,,,0,,5567315,,,,,
1/24/2020,RI,0,,,0,,463388,,,,,
1/24/2020,SC,0,,,0,,2137683,,,,,
1/24/2020,SD,0,,,0,,363438,,,,,
1/24/2020,TN,0,,,0,,2812133,,,,,
1/24/2020,TX,0,,,0,,9977436,,,,,
1/24/2020,UT,0,,,0,,979709,,,,,
1/24/2020,VA,0,,,0,,3364939,,,,,
1/24/2020,VT,0,,,0,,322539,,,,,
1/24/2020,WA,1,,,0,,2885677,,,,,
1/24/2020,WI,0,,,0,,2624358,,,,,
1/24/2020,WV,0,,,0,,881917,,,,,
1/24/2020,WY,0,,,0,,261868,,,,,
1/25/2020,AK,0,,,0,,306967,,,,,
1/25/2020,AL,0,,,0,,2171853,,,,,
1/25/2020,AR,0,,,0,,1316299,,,,,
1/25/2020,AZ,0,,,0,,2844526,,,,,
1/25/2020,CA,0,,,0,,13680081,,,,,
1/25/2020,CO,0,,,0,,2212898,,,,,
1/25/2020,CT,0,,,0,,1487891,,,,,
1/25/2020,DC,0,,,0,,296719,,,,,
1/25/2020,DE,0,,,0,,405885,,,,,
1/25/2020,FL,0,,,0,,8989580,,,,,
1/25/2020,GA,0,,,0,,4088801,,,,,
1/25/2020,HI,0,,,0,,519508,,,,,
1/25/2020,IA,0,,,0,,1336417,,,,,
1/25/2020,ID,0,,,0,,667796,,,,,
1/25/2020,IL,1,,,0,,5296715,,,,,
1/25/2020,IN,0,,,0,,2795541,,,,,
1/25/2020,KS,0,,,0,,1233215,,,,,
1/25/2020,KY,0,,,0,,1927164,,,,,
1/25/2020,LA,0,,,0,,1964981,,,,,
1/25/2020,MA,0,,,0,,2808254,,,,,
1/25/2020,MD,0,,,0,,2378814,,,,,
1/25/2020,ME,0,,,0,,721830,,,,,
1/25/2020,MI,0,,,0,,4532233,,,,,
1/25/2020,MN,0,,,0,,2347201,,,,,
1/25/2020,MO,0,,,0,,2712729,,,,,
1/25/2020,MS,0,,,0,,1274719,,,,,
1/25/2020,MT,0,,,0,,482825,,,,,
1/25/2020,NC,0,,,0,,4327528,,,,,
1/25/2020,ND,0,,,0,,317498,,,,,
1/25/2020,NE,0,,,0,,796793,,,,,
1/25/2020,NH,0,,,0,,614754,,,,,
1/25/2020,NJ,0,,,0,,3553562,,,,,
1/25/2020,NM,0,,,0,,901388,,,,,
1/25/2020,NV,0,,,0,,1173814,,,,,
1/25/2020,NY,0,,,0,,8108103,,,,,
1/25/2020,OH,0,,,0,,5127508,,,,,
1/25/2020,OK,0,,,0,,1664378,,,,,
1/25/2020,OR,0,,,0,,1675562,,,,,
1/25/2020,PA,0,,,0,,5567315,,,,,
1/25/2020,RI,0,,,0,,463388,,,,,
1/25/2020,SC,0,,,0,,2137683,,,,,
1/25/2020,SD,0,,,0,,363438,,,,,
1/25/2020,TN,0,,,0,,2812133,,,,,
1/25/2020,TX,0,,,0,,9977436,,,,,
1/25/2020,UT,0,,,0,,979709,,,,,
1/25/2020,VA,0,,,0,,3364939,,,,,
1/25/2020,VT,0,,,0,,322539,,,,,
1/25/2020,WA,1,,,0,,2885677,,,,,
1/25/2020,WI,0,,,0,,2624358,,,,,
1/25/2020,WV,0,,,0,,881917,,,,,
1/25/2020,WY,0,,,0,,261868,,,,,
1/26/2020,AK,0,,,0,,306967,,,,,
1/26/2020,AL,0,,,0,,2171853,,,,,
1/26/2020,AR,0,,,0,,1316299,,,,,
1/26/2020,AZ,1,,,1,,2844526,,,,,
1/26/2020,CA,2,,,2,,13680081,,,,,
1/26/2020,CO,0,,,0,,2212898,,,,,
1/26/2020,CT,0,,,0,,1487891,,,,,
1/26/2020,DC,0,,,0,,296719,,,,,
1/26/2020,DE,0,,,0,,405885,,,,,
1/26/2020,FL,0,,,0,,8989580,,,,,
1/26/2020,GA,0,,,0,,4088801,,,,,
1/26/2020,HI,0,,,0,,519508,,,,,
1/26/2020,IA,0,,,0,,1336417,,,,,
1/26/2020,ID,0,,,0,,667796,,,,,
1/26/2020,IL,1,,,0,,5296715,,,,,
1/26/2020,IN,0,,,0,,2795541,,,,,
1/26/2020,KS,0,,,0,,1233215,,,,,
1/26/2020,KY,0,,,0,,1927164,,,,,
1/26/2020,LA,0,,,0,,1964981,,,,,
1/26/2020,MA,0,,,0,,2808254,,,,,
1/26/2020,MD,0,,,0,,2378814,,,,,
1/26/2020,ME,0,,,0,,721830,,,,,
1/26/2020,MI,0,,,0,,4532233,,,,,
1/26/2020,MN,0,,,0,,2347201,,,,,
1/26/2020,MO,0,,,0,,2712729,,,,,
1/26/2020,MS,0,,,0,,1274719,,,,,
1/26/2020,MT,0,,,0,,482825,,,,,
1/26/2020,NC,0,,,0,,4327528,,,,,
1/26/2020,ND,0,,,0,,317498,,,,,
1/26/2020,NE,0,,,0,,796793,,,,,
1/26/2020,NH,0,,,0,,614754,,,,,
1/26/2020,NJ,0,,,0,,3553562,,,,,
1/26/2020,NM,0,,,0,,901388,,,,,
1/26/2020,NV,0,,,0,,1173814,,,,,
1/26/2020,NY,0,,,0,,8108103,,,,,
1/26/2020,OH,0,,,0,,5127508,,,,,
1/26/2020,OK,0,,,0,,1664378,,,,,
1/26/2020,OR,0,,,0,,1675562,,,,,
1/26/2020,PA,0,,,0,,5567315,,,,,
1/26/2020,RI,0,,,0,,463388,,,,,
1/26/2020,SC,0,,,0,,2137683,,,,,
1/26/2020,SD,0,,,0,,363438,,,,,
1/26/2020,TN,0,,,0,,2812133,,,,,
1/26/2020,TX,0,,,0,,9977436,,,,,
1/26/2020,UT,0,,,0,,979709,,,,,
1/26/2020,VA,0,,,0,,3364939,,,,,
1/26/2020,VT,0,,,0,,322539,,,,,
1/26/2020,WA,1,,,0,,2885677,,,,,
1/26/2020,WI,0,,,0,,2624358,,,,,
1/26/2020,WV,0,,,0,,881917,,,,,
1/26/2020,WY,0,,,0,,261868,,,,,
1/27/2020,AK,0,,,0,,306967,,,,,
1/27/2020,AL,0,,,0,,2171853,,,,,
1/27/2020,AR,0,,,0,,1316299,,,,,
1/27/2020,AZ,1,,,0,,2844526,,,,,
1/27/2020,CA,2,,,0,,13680081,,,,,
1/27/2020,CO,0,,,0,,2212898,,,,,
1/27/2020,CT,0,,,0,,1487891,,,,,
1/27/2020,DC,0,,,0,,296719,,,,,
1/27/2020,DE,0,,,0,,405885,,,,,
1/27/2020,FL,0,,,0,,8989580,,,,,
1/27/2020,GA,0,,,0,,4088801,,,,,
1/27/2020,HI,0,,,0,,519508,,,,,
1/27/2020,IA,0,,,0,,1336417,,,,,
1/27/2020,ID,0,,,0,,667796,,,,,
1/27/2020,IL,1,,,0,,5296715,,,,,
1/27/2020,IN,0,,,0,,2795541,,,,,
1/27/2020,KS,0,,,0,,1233215,,,,,
1/27/2020,KY,0,,,0,,1927164,,,,,
1/27/2020,LA,0,,,0,,1964981,,,,,
1/27/2020,MA,0,,,0,,2808254,,,,,
1/27/2020,MD,0,,,0,,2378814,,,,,
1/27/2020,ME,0,,,0,,721830,,,,,
1/27/2020,MI,0,,,0,,4532233,,,,,
1/27/2020,MN,0,,,0,,2347201,,,,,
1/27/2020,MO,0,,,0,,2712729,,,,,
1/27/2020,MS,0,,,0,,1274719,,,,,
1/27/2020,MT,0,,,0,,482825,,,,,
1/27/2020,NC,0,,,0,,4327528,,,,,
1/27/2020,ND,0,,,0,,317498,,,,,
1/27/2020,NE,0,,,0,,796793,,,,,
1/27/2020,NH,0,,,0,,614754,,,,,
1/27/2020,NJ,0,,,0,,3553562,,,,,
1/27/2020,NM,0,,,0,,901388,,,,,
1/27/2020,NV,0,,,0,,1173814,,,,,
1/27/2020,NY,0,,,0,,8108103,,,,,
1/27/2020,OH,0,,,0,,5127508,,,,,
1/27/2020,OK,0,,,0,,1664378,,,,,
1/27/2020,OR,0,,,0,,1675562,,,,,
1/27/2020,PA,0,,,0,,5567315,,,,,
1/27/2020,RI,0,,,0,,463388,,,,,
1/27/2020,SC,0,,,0,,2137683,,,,,
1/27/2020,SD,0,,,0,,363438,,,,,
1/27/2020,TN,0,,,0,,2812133,,,,,
1/27/2020,TX,0,,,0,,9977436,,,,,
1/27/2020,UT,0,,,0,,979709,,,,,
1/27/2020,VA,0,,,0,,3364939,,,,,
1/27/2020,VT,0,,,0,,322539,,,,,
1/27/2020,WA,1,,,0,,2885677,,,,,
1/27/2020,WI,0,,,0,,2624358,,,,,
1/27/2020,WV,0,,,0,,881917,,,,,
1/27/2020,WY,0,,,0,,261868,,,,,
1/28/2020,AK,0,,,0,,306967,,,,,
1/28/2020,AL,0,,,0,,2171853,,,,,
1/28/2020,AR,0,,,0,,1316299,,,,,
1/28/2020,AZ,1,,,0,,2844526,,,,,
1/28/2020,CA,2,,,0,,13680081,,,,,
1/28/2020,CO,0,,,0,,2212898,,,,,
1/28/2020,CT,0,,,0,,1487891,,,,,
1/28/2020,DC,0,,,0,,296719,,,,,
1/28/2020,DE,0,,,0,,405885,,,,,
1/28/2020,FL,0,,,0,,8989580,,,,,
1/28/2020,GA,0,,,0,,4088801,,,,,
1/28/2020,HI,0,,,0,,519508,,,,,
1/28/2020,IA,0,,,0,,1336417,,,,,
1/28/2020,ID,0,,,0,,667796,,,,,
1/28/2020,IL,1,,,0,,5296715,,,,,
1/28/2020,IN,0,,,0,,2795541,,,,,
1/28/2020,KS,0,,,0,,1233215,,,,,
1/28/2020,KY,0,,,0,,1927164,,,,,
1/28/2020,LA,0,,,0,,1964981,,,,,
1/28/2020,MA,0,,,0,,2808254,,,,,
1/28/2020,MD,0,,,0,,2378814,,,,,
1/28/2020,ME,0,,,0,,721830,,,,,
1/28/2020,MI,0,,,0,,4532233,,,,,
1/28/2020,MN,0,,,0,,2347201,,,,,
1/28/2020,MO,0,,,0,,2712729,,,,,
1/28/2020,MS,0,,,0,,1274719,,,,,
1/28/2020,MT,0,,,0,,482825,,,,,
1/28/2020,NC,0,,,0,,4327528,,,,,
1/28/2020,ND,0,,,0,,317498,,,,,
1/28/2020,NE,0,,,0,,796793,,,,,
1/28/2020,NH,0,,,0,,614754,,,,,
1/28/2020,NJ,0,,,0,,3553562,,,,,
1/28/2020,NM,0,,,0,,901388,,,,,
1/28/2020,NV,0,,,0,,1173814,,,,,
1/28/2020,NY,0,,,0,,8108103,,,,,
1/28/2020,OH,0,,,0,,5127508,,,,,
1/28/2020,OK,0,,,0,,1664378,,,,,
1/28/2020,OR,0,,,0,,1675562,,,,,
1/28/2020,PA,0,,,0,,5567315,,,,,
1/28/2020,RI,0,,,0,,463388,,,,,
1/28/2020,SC,0,,,0,,2137683,,,,,
1/28/2020,SD,0,,,0,,363438,,,,,
1/28/2020,TN,0,,,0,,2812133,,,,,
1/28/2020,TX,0,,,0,,9977436,,,,,
1/28/2020,UT,0,,,0,,979709,,,,,
1/28/2020,VA,0,,,0,,3364939,,,,,
1/28/2020,VT,0,,,0,,322539,,,,,
1/28/2020,WA,1,,,0,,2885677,,,,,
1/28/2020,WI,0,,,0,,2624358,,,,,
1/28/2020,WV,0,,,0,,881917,,,,,
1/28/2020,WY,0,,,0,,261868,,,,,
1/29/2020,AK,0,,,0,,306967,,,,,
1/29/2020,AL,0,,,0,,2171853,,,,,
1/29/2020,AR,0,,,0,,1316299,,,,,
1/29/2020,AZ,1,,,0,,2844526,,,,,
1/29/2020,CA,2,,,0,,13680081,,,,,
1/29/2020,CO,0,,,0,,2212898,,,,,
1/29/2020,CT,0,,,0,,1487891,,,,,
1/29/2020,DC,0,,,0,,296719,,,,,
1/29/2020,DE,0,,,0,,405885,,,,,
1/29/2020,FL,0,,,0,,8989580,,,,,
1/29/2020,GA,0,,,0,,4088801,,,,,
1/29/2020,HI,0,,,0,,519508,,,,,
1/29/2020,IA,0,,,0,,1336417,,,,,
1/29/2020,ID,0,,,0,,667796,,,,,
1/29/2020,IL,1,,,0,,5296715,,,,,
1/29/2020,IN,0,,,0,,2795541,,,,,
1/29/2020,KS,0,,,0,,1233215,,,,,
1/29/2020,KY,0,,,0,,1927164,,,,,
1/29/2020,LA,0,,,0,,1964981,,,,,
1/29/2020,MA,0,,,0,,2808254,,,,,
1/29/2020,MD,0,,,0,,2378814,,,,,
1/29/2020,ME,0,,,0,,721830,,,,,
1/29/2020,MI,0,,,0,,4532233,,,,,
1/29/2020,MN,0,,,0,,2347201,,,,,
1/29/2020,MO,0,,,0,,2712729,,,,,
1/29/2020,MS,0,,,0,,1274719,,,,,
1/29/2020,MT,0,,,0,,482825,,,,,
1/29/2020,NC,0,,,0,,4327528,,,,,
1/29/2020,ND,0,,,0,,317498,,,,,
1/29/2020,NE,0,,,0,,796793,,,,,
1/29/2020,NH,0,,,0,,614754,,,,,
1/29/2020,NJ,0,,,0,,3553562,,,,,
1/29/2020,NM,0,,,0,,901388,,,,,
1/29/2020,NV,0,,,0,,1173814,,,,,
1/29/2020,NY,0,,,0,,8108103,,,,,
1/29/2020,OH,0,,,0,,5127508,,,,,
1/29/2020,OK,0,,,0,,1664378,,,,,
1/29/2020,OR,0,,,0,,1675562,,,,,
1/29/2020,PA,0,,,0,,5567315,,,,,
1/29/2020,RI,0,,,0,,463388,,,,,
1/29/2020,SC,0,,,0,,2137683,,,,,
1/29/2020,SD,0,,,0,,363438,,,,,
1/29/2020,TN,0,,,0,,2812133,,,,,
1/29/2020,TX,0,,,0,,9977436,,,,,
1/29/2020,UT,0,,,0,,979709,,,,,
1/29/2020,VA,0,,,0,,3364939,,,,,
1/29/2020,VT,0,,,0,,322539,,,,,
1/29/2020,WA,1,,,0,,2885677,,,,,
1/29/2020,WI,0,,,0,,2624358,,,,,
1/29/2020,WV,0,,,0,,881917,,,,,
1/29/2020,WY,0,,,0,,261868,,,,,
1/30/2020,AK,0,,,0,,306967,,,,,
1/30/2020,AL,0,,,0,,2171853,,,,,
1/30/2020,AR,0,,,0,,1316299,,,,,
1/30/2020,AZ,1,,,0,,2844526,,,,,
1/30/2020,CA,2,,,0,,13680081,,,,,
1/30/2020,CO,0,,,0,,2212898,,,,,
1/30/2020,CT,0,,,0,,1487891,,,,,
1/30/2020,DC,0,,,0,,296719,,,,,
1/30/2020,DE,0,,,0,,405885,,,,,
1/30/2020,FL,0,,,0,,8989580,,,,,
1/30/2020,GA,0,,,0,,4088801,,,,,
1/30/2020,HI,0,,,0,,519508,,,,,
1/30/2020,IA,0,,,0,,1336417,,,,,
1/30/2020,ID,0,,,0,,667796,,,,,
1/30/2020,IL,1,,,0,,5296715,,,,,
1/30/2020,IN,0,,,0,,2795541,,,,,
1/30/2020,KS,0,,,0,,1233215,,,,,
1/30/2020,KY,0,,,0,,1927164,,,,,
1/30/2020,LA,0,,,0,,1964981,,,,,
1/30/2020,MA,0,,,0,,2808254,,,,,
1/30/2020,MD,0,,,0,,2378814,,,,,
1/30/2020,ME,0,,,0,,721830,,,,,
1/30/2020,MI,0,,,0,,4532233,,,,,
1/30/2020,MN,0,,,0,,2347201,,,,,
1/30/2020,MO,0,,,0,,2712729,,,,,
1/30/2020,MS,0,,,0,,1274719,,,,,
1/30/2020,MT,0,,,0,,482825,,,,,
1/30/2020,NC,0,,,0,,4327528,,,,,
1/30/2020,ND,0,,,0,,317498,,,,,
1/30/2020,NE,0,,,0,,796793,,,,,
1/30/2020,NH,0,,,0,,614754,,,,,
1/30/2020,NJ,0,,,0,,3553562,,,,,
1/30/2020,NM,0,,,0,,901388,,,,,
1/30/2020,NV,0,,,0,,1173814,,,,,
1/30/2020,NY,0,,,0,,8108103,,,,,
1/30/2020,OH,0,,,0,,5127508,,,,,
1/30/2020,OK,0,,,0,,1664378,,,,,
1/30/2020,OR,0,,,0,,1675562,,,,,
1/30/2020,PA,0,,,0,,5567315,,,,,
1/30/2020,RI,0,,,0,,463388,,,,,
1/30/2020,SC,0,,,0,,2137683,,,,,
1/30/2020,SD,0,,,0,,363438,,,,,
1/30/2020,TN,0,,,0,,2812133,,,,,
1/30/2020,TX,0,,,0,,9977436,,,,,
1/30/2020,UT,0,,,0,,979709,,,,,
1/30/2020,VA,0,,,0,,3364939,,,,,
1/30/2020,VT,0,,,0,,322539,,,,,
1/30/2020,WA,1,,,0,,2885677,,,,,
1/30/2020,WI,0,,,0,,2624358,,,,,
1/30/2020,WV,0,,,0,,881917,,,,,
1/30/2020,WY,0,,,0,,261868,,,,,
1/31/2020,AK,0,,,0,,306967,,,,,
1/31/2020,AL,0,,,0,,2171853,,,,,
1/31/2020,AR,0,,,0,,1316299,,,,,
1/31/2020,AZ,1,,,0,,2844526,,,,,
1/31/2020,CA,3,,,1,,13680081,,,,,
1/31/2020,CO,0,,,0,,2212898,,,,,
1/31/2020,CT,0,,,0,,1487891,,,,,
1/31/2020,DC,0,,,0,,296719,,,,,
1/31/2020,DE,0,,,0,,405885,,,,,
1/31/2020,FL,0,,,0,,8989580,,,,,
1/31/2020,GA,0,,,0,,4088801,,,,,
1/31/2020,HI,0,,,0,,519508,,,,,
1/31/2020,IA,0,,,0,,1336417,,,,,
1/31/2020,ID,0,,,0,,667796,,,,,
1/31/2020,IL,2,,,1,,5296715,,,,,
1/31/2020,IN,0,,,0,,2795541,,,,,
1/31/2020,KS,0,,,0,,1233215,,,,,
1/31/2020,KY,0,,,0,,1927164,,,,,
1/31/2020,LA,0,,,0,,1964981,,,,,
1/31/2020,MA,0,,,0,,2808254,,,,,
1/31/2020,MD,0,,,0,,2378814,,,,,
1/31/2020,ME,0,,,0,,721830,,,,,
1/31/2020,MI,0,,,0,,4532233,,,,,
1/31/2020,MN,0,,,0,,2347201,,,,,
1/31/2020,MO,0,,,0,,2712729,,,,,
1/31/2020,MS,0,,,0,,1274719,,,,,
1/31/2020,MT,0,,,0,,482825,,,,,
1/31/2020,NC,0,,,0,,4327528,,,,,
1/31/2020,ND,0,,,0,,317498,,,,,
1/31/2020,NE,0,,,0,,796793,,,,,
1/31/2020,NH,0,,,0,,614754,,,,,
1/31/2020,NJ,0,,,0,,3553562,,,,,
1/31/2020,NM,0,,,0,,901388,,,,,
1/31/2020,NV,0,,,0,,1173814,,,,,
1/31/2020,NY,0,,,0,,8108103,,,,,
1/31/2020,OH,0,,,0,,5127508,,,,,
1/31/2020,OK,0,,,0,,1664378,,,,,
1/31/2020,OR,0,,,0,,1675562,,,,,
1/31/2020,PA,0,,,0,,5567315,,,,,
1/31/2020,RI,0,,,0,,463388,,,,,
1/31/2020,SC,0,,,0,,2137683,,,,,
1/31/2020,SD,0,,,0,,363438,,,,,
1/31/2020,TN,0,,,0,,2812133,,,,,
1/31/2020,TX,0,,,0,,9977436,,,,,
1/31/2020,UT,0,,,0,,979709,,,,,
